estudiante_id,nombre,nota
3,Lu^is,5.0
14,Pedro,5.0
13,@Laura,5.0
9,,5.0
26,Carlos^^,5.0
32,Miguel**,5.0
21,Luisa,5.0
41,Luisa,5.0
51,ANA@@,5.0
63,Laura,5.0
6,Laura,4.5
31,Luisa@@,4.0
54,PEDRO,4.0
16,Juan##,4.0
1,María**,3.5
33,,3.5
28,PEDRO,3.4105263157894736
4,ANA,3.4105263157894736
36,Carlos,3.4105263157894736
25,,3.4105263157894736
40,MIGUEL,3.4105263157894736
45,Ana,3.4105263157894736
55,MIGUEL##,3.4105263157894736
53,Luisa**,3.4105263157894736
46,PEDRO**,3.4105263157894736
52,Juan,3.4105263157894736
49,,3.4105263157894736
50,Carlos,3.4105263157894736
37,Ana**,3.4105263157894736
42,Laura,3.4105263157894736
48,Laura##,3.4105263157894736
44,,3.4105263157894736
20,Pedro,3.4105263157894736
12,Ana^^,3.4105263157894736
10,Luisa,3.4105263157894736
8,CARLOS,3.4105263157894736
85,,3.4105263157894736
86,Juan,3.4105263157894736
87,MIGUEL,3.4105263157894736
88,Ana**,3.4105263157894736
89,PEDRO##,3.4105263157894736
90,,3.4105263157894736
75,Laura##,3.4105263157894736
76,PEDRO**,3.4105263157894736
77,Juan,3.4105263157894736
78,,3.4105263157894736
79,ANA,3.4105263157894736
80,Carlos**,3.4105263157894736
81,MIGUEL##,3.4105263157894736
82,Laura,3.4105263157894736
83,PEDRO,3.4105263157894736
84,Luisa**,3.4105263157894736
65,Ana##,3.4105263157894736
66,Juan,3.4105263157894736
62,MIGUEL,3.4105263157894736
64,Carlos**,3.4105263157894736
60,,3.4105263157894736
59,ANA,3.4105263157894736
61,PEDRO,3.4105263157894736
57,Laura@@,3.4105263157894736
67,MIGUEL,3.4105263157894736
68,Laura**,3.4105263157894736
74,MIGUEL,3.4105263157894736
73,Luisa,3.4105263157894736
72,ANA**,3.4105263157894736
71,Carlos,3.4105263157894736
70,,3.4105263157894736
69,PEDRO,3.4105263157894736
93,Carlos,3.4105263157894736
94,,3.4105263157894736
95,Juan**,3.4105263157894736
96,PEDRO,3.4105263157894736
97,Luisa,3.4105263157894736
98,MIGUEL**,3.4105263157894736
91,MIGUEL,3.4105263157894736
92,Laura**,3.4105263157894736
99,Laura,3.4105263157894736
100,Ana**,3.4105263157894736
24,Laura**,3.4
11,Miguel,3.2
30,,3.0
2,@Pedro#,3.0
18,,3.0
17,MIGUEL,3.0
47,MIGUEL,3.0
27,Ana##,3.0
38,PEDRO,3.0
39,,3.0
56,,3.0
19,María,2.9
34,Laura,2.8
5,nan,2.8
15,nan,2.7
22,ANA@,2.3
58,Juan**,2.0
29,MARÍA,2.0
43,Juan##,2.0
35,Juan@@,1.0
7,Miguél*,1.0
23,MIGUEL,1.0
